2023-07-01 23:36:44.7768 | TRACE | Начинаем поиск файла AssemblyInfo.cs из директории X:\projects\_WIP\nLogViewer\nLogViewer | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\projects\_WIP\nLogViewer\nLogViewer\App.xaml | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\projects\_WIP\nLogViewer\nLogViewer\App.xaml.cs | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\projects\_WIP\nLogViewer\nLogViewer\Program.cs | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\projects\_WIP\nLogViewer\nLogViewer\nLogViewer.csproj | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\projects\_WIP\nLogViewer\nLogViewer\AssemblyInfo.cs | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\projects\_WIP\nLogViewer\nLogViewer\VersionChanger.exe | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | В директории X:\projects\_WIP\nLogViewer\nLogViewer файл AssemblyInfo.cs не найден | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Переходим в вышестоящую директорию X:\projects\_WIP\nLogViewer | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\projects\_WIP\nLogViewer\nLogViewer.sln | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\projects\_WIP\nLogViewer\.gitignore | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\projects\_WIP\nLogViewer\VersionChanger.exe | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\projects\_WIP\nLogViewer\NLog.config | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | В директории X:\projects\_WIP\nLogViewer файл AssemblyInfo.cs не найден | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Переходим в вышестоящую директорию X:\projects\_WIP | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | В директории X:\projects\_WIP файл AssemblyInfo.cs не найден | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Переходим в вышестоящую директорию X:\projects | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | В директории X:\projects файл AssemblyInfo.cs не найден | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Переходим в вышестоящую директорию X:\ | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\Alpha_3.ova | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\hmiconvopc2ap.exe | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\Deployment.bat | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\CopyGenAlpha.bat | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\alpha.net.agent.xml | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\alpha.domain.agent.xml | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\CommonLib.binom | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\Снимок экрана 2022-11-09 092705.png | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\Thumbs.db | VersionChanger.AssemblyInfoSearcher | 13984 | 1
2023-07-01 23:36:44.8116 | TRACE | Проверка файла X:\oipUst.spcfg | VersionChanger.AssemblyInfoSearcher | 13984 | 1
